amostra,eixoX,eixoY,eixoZ,aceleracaoX,aceleracaoY,aceleracaoZ
1,706.000000,103.000000,-164.000000,0.000732,0.009766,1.065674
2,-236.000000,408.000000,-45.000000,-0.046387,-0.028076,1.058838
3,-746.000000,347.000000,-135.000000,-0.048096,-0.075928,1.057617
4,-2629.000000,2392.000000,-947.000000,-0.099121,-0.116211,1.072998
5,-3063.000000,4584.000000,-1091.000000,-0.147461,-0.219727,0.984375
6,-2507.000000,3576.000000,-941.000000,-0.280518,-0.307129,0.980469
7,-2105.000000,4465.000000,-511.000000,-0.372314,-0.416016,0.904053
8,862.000000,-670.000000,314.000000,-0.404053,-0.444092,0.853027
9,2813.000000,-2016.000000,463.000000,-0.343018,-0.393555,0.861084
10,3417.000000,-2583.000000,623.000000,-0.281738,-0.316162,0.926758
11,3129.000000,-2799.000000,387.000000,-0.200928,-0.210693,1.015869
12,2989.000000,-1575.000000,-242.000000,-0.133057,-0.143799,1.031982
13,3160.000000,-1378.000000,-272.000000,-0.094482,-0.054199,1.074463
14,3188.000000,-760.000000,-62.000000,-0.068848,0.000000,1.123291
15,5022.000000,588.000000,139.000000,-0.016357,0.046875,1.062500
16,4911.000000,2068.000000,1429.000000,-0.087891,0.171631,1.031006
17,6641.000000,342.000000,-1198.000000,-0.057617,0.283203,0.957764
18,4063.000000,1135.000000,-12.000000,-0.140137,0.401367,0.892578
19,2148.000000,-239.000000,654.000000,-0.190186,0.544922,0.862793
20,-2282.000000,479.000000,-291.000000,-0.205078,0.573975,0.837891
21,-3258.000000,-856.000000,-540.000000,-0.193604,0.451660,0.838379
22,-4144.000000,-239.000000,-601.000000,-0.156494,0.366455,0.940430
23,-3268.000000,-1147.000000,-1310.000000,-0.167236,0.292480,1.037354
24,-2559.000000,-972.000000,-178.000000,-0.106689,0.167725,1.031006
25,-2205.000000,-899.000000,-192.000000,-0.154541,0.071289,1.015625
26,-318.000000,-1514.000000,-785.000000,-0.026855,0.062500,1.075928
27,-13.000000,-935.000000,267.000000,-0.093018,-0.061279,1.043945
28,-2062.000000,2321.000000,-1646.000000,-0.060303,-0.078125,1.083252
29,-5109.000000,5547.000000,-2203.000000,-0.131836,-0.168213,0.986084
30,-2751.000000,3588.000000,-923.000000,-0.251953,-0.281250,0.957031
31,-3490.000000,4564.000000,-1034.000000,-0.325928,-0.373291,0.892822
32,-272.000000,139.000000,1398.000000,-0.469971,-0.493652,0.798828
33,3503.000000,-3017.000000,514.000000,-0.420898,-0.441895,0.852295
34,6113.000000,-5507.000000,1645.000000,-0.329346,-0.321533,0.918945
35,4062.000000,-3894.000000,986.000000,-0.201172,-0.195068,1.004639
36,3340.000000,-3147.000000,1066.000000,-0.125000,-0.100586,1.052002
37,3193.000000,-3114.000000,954.000000,-0.039307,-0.011963,1.089111
38,4615.000000,-983.000000,329.000000,0.027832,0.026367,1.032471
39,4922.000000,1315.000000,139.000000,0.054199,0.165527,1.066406
40,3451.000000,3205.000000,-460.000000,-0.049561,0.268311,1.075439
41,6252.000000,251.000000,-414.000000,-0.136475,0.356934,0.976318
42,6310.000000,-65.000000,676.000000,-0.125000,0.482910,0.879883
43,987.000000,-793.000000,-176.000000,-0.093750,0.584961,0.835693
44,-5185.000000,-442.000000,-904.000000,-0.051758,0.547119,0.847656
45,-3136.000000,-1920.000000,-546.000000,-0.075928,0.393066,1.030518
46,-4165.000000,-700.000000,-991.000000,-0.064941,0.310059,1.067139
47,-3450.000000,-1032.000000,51.000000,-0.044189,0.144287,1.069092
48,-2644.000000,-1594.000000,230.000000,-0.012695,0.024414,1.046875
49,-2169.000000,-1486.000000,-634.000000,0.028809,-0.083496,1.007080
50,-279.000000,106.000000,-750.000000,0.019287,-0.120850,1.065430
51,-3757.000000,4770.000000,-1918.000000,-0.011963,-0.133545,1.038330
52,-3522.000000,5388.000000,-2015.000000,-0.132324,-0.261719,1.022949
53,-3900.000000,5048.000000,-1437.000000,-0.287842,-0.452881,0.860596
54,-2335.000000,2413.000000,40.000000,-0.393066,-0.549072,0.821777
